UNITID,EFFYLEV,EFYTOTLT
100654,1,6173
100654,2,5108
100654,4,1065
100663,1,20395
100663,2,12673
100663,4,7722
100690,1,1097
100690,2,570
100690,4,527
100706,1,9102
100706,2,7194
100706,4,1908
100724,1,6625
100724,2,5493
100724,4,1132
100751,1,30613
100751,2,24965
100751,4,5648
100760,1,3423
100760,2,3423
100812,1,4918
100812,2,4918
100830,1,7227
100830,2,5941
100830,4,1286
100858,1,26464
100858,2,21039
100858,4,5425
100937,1,1611
100937,2,1566
100937,4,45
101028,1,2737
101028,2,2737
101073,1,728
101073,2,728
101116,1,1073
101116,2,1002
101116,4,71
101143,1,4112
101143,2,4112
101161,1,6557
101161,2,6557
101189,1,4075
101189,2,3506
101189,4,569
101240,1,10019
101240,2,10019
101286,1,6841
101286,2,6841
101295,1,8758
101295,2,8758
101301,1,3229
101301,2,3229
101365,1,716
101365,2,716
101435,1,1233
101435,2,1233
101453,1,124
101453,2,83
101453,4,41
101462,1,2068
101462,2,2068
101471,1,1053
101471,2,1053
101480,1,11379
101480,2,9411
101480,4,1968
101499,1,2128
101499,2,2128
101505,1,13888
101505,2,13888
101514,1,16717
101514,2,16717
101541,1,342
101541,2,342
101569,1,6637
101569,2,6637
101587,1,6390
101587,2,2233
101587,4,4157
101602,1,2572
101602,2,2572
101648,1,548
101648,2,548
101675,1,2089
101675,2,2089
101693,1,1984
101693,2,1733
101693,4,251
101709,1,3493
101709,2,2833
101709,4,660
101736,1,6262
101736,2,6262
101879,1,8685
101879,2,7206
101879,4,1479
101897,1,4657
101897,2,4657
