UNITID,F1A13,F1A18
100654,116267000,81817807
100663,1171668911,2339292264
100706,129274908,267736680
100724,262888167,136240954
100733,2220512,14041491
100751,1089231555,1614638164
100760,10106770,25674983
100812,22925383,30351763
100830,77894493,53801659
100858,1056576025,1381618581
101028,10579578,18064172
101143,10672636,26363375
101161,26209297,33122026
101240,37672484,61389450
101286,13211815,47833848
101295,32566382,90604601
101301,2086135,41536839
101462,4306732,10575316
101471,771806,7008175
101480,116875958,83517403
101499,2068524,13564841
101505,67751506,44811953
101514,43438365,72613348
101569,20138635,29331086
101587,41845690,42654238
101602,7387267,18244292
101648,3957750,19744792
101709,35965518,55600137
101736,7048456,31116417
101879,64732813,96492173
101897,8313560,22248162
101949,4529579,17029661
101994,3480555,4631235
102030,12640233,35335571
102067,16583058,69869747
102076,14076720,22840497
102094,503301000,416896000
102313,10856593,19462209
102368,178608995,265619878
102429,20932651,56788445
102553,62254576,351759866
102614,90665882,468383153
102632,13742484,61415921
102711,,
103361,336494,18056058
103529,123435653,223006702
104151,1306429000,1130440000
104160,83361520,57897763
104179,1385180000,1069087000
104346,64541310,92314297
104425,29342278,52980436
104577,3344020,78312454
104708,,
105136,860986370,763604262
105145,,
105154,,
105206,6944742,22787108
105297,14761550,60451631
105330,527890628,417896760
105349,1828409,66416592
105428,,
105525,28640412,216959372
105668,,
105747,,
105792,,
106148,66200467,76587228
106245,118210559,191189006
106263,496710000,731413000
106397,684163415,652202638
106412,29561616,95372964
106449,39908174,37868931
106458,148284363,201894484
106467,69703119,92083743
106485,16676395,41290476
106625,4770646,36218546
106704,126017612,98263585
106795,6746000,12203427
106829,,
106883,4471573,20219712
106980,15123306,19363446
106999,4821346,15799620
107071,38677906,41137133
107318,23406545,36365762
107327,6258643,23607416
107460,5328709,18972973
107488,,
107521,3232388,3648858
107549,3861735,10236402
107585,4807789,14749202
107619,14160670,18780581
107637,3594994,24452986
107664,50918430,39821099
107725,7330181,11352975
107743,1887400,12020974
107974,5041423,22619506
107983,48872813,42231946
107992,2370139,20887835
108056,19566445,31249743
108092,92040482,80296847
