UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,TENURSYS,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,FAXTELE,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
100636,Community College of the Air Force,100 S Turner Blvd,Montgomery,AL,36114-3011,1,0,Jonathan T. Hamill,Commandant,3346495000,-1,1230800,5,www.au.af.mil/au/ccaf/, , , , ,4,2,1,4,1,2,40,1,2,-1,2,2,12,0,A ,-2,-2,-2,1,1,2,6,1,CCAF,4,8,1,-1,0,1,0,40,-1,2,-1,33860,1,388,-2,1,Air University,3346495100,1101,"Montgomery County, AL",102,-86.352056,32.378278
100654,Alabama A & M University,4900 Meridian Street,Normal,AL,35762,1,5,"Dr. Andrew Hugine, Jr.",President,2563725000,636001109,100200,1,www.aamu.edu/,www.aamu.edu/admissions/pages/default.aspx,www.aamu.edu/Admissions/fincialaid/Pages/default.aspx,www.aamu.edu/Admissions/apply/Pages/default.aspx,galileo.aamu.edu/netpricecalculator/npcalc.htm,1,1,1,9,1,1,12,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,AAMU,2,18,13,18,9,4,14,16,1,1,2,26620,1,290,-2,2,-2,2563725030,1089,"Madison County, AL",105,-86.568502,34.783368
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Carol Z. Garrison,President,2059344011,636005396,105200,1,www.uab.edu,www.uab.edu/students/undergraduate-admissions,www.uab.edu/students/paying-for-college,https://sa.uab.edu/admissions/application/freshman.asp,www.collegeportraits.org/AL/UAB/estimator/agree,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,11,17,8,5,15,15,1,2,4,13820,1,142,-2,1,The University of Alabama System,2059757114,1073,"Jefferson County, AL",107,-86.80917,33.50223
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,1,5,Michael Turner,President,3.34388E+13,237034324,2503400,1,www.amridgeuniversity.edu,www.amridgeuniversity.edu/au_admissions.html,www.amridgeuniversity.edu/au_financialaid.html,https://www.amridgeuniversity.edu/Amridge/login.aspx?ReturnUrl=%2fAmridge%2fStudent%2fFormChoice.aspx, ,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Southern Christian University |Regions University,2,21,11,13,6,5,6,51,2,2,1,33860,1,388,-2,2,-2,3343873878,1101,"Montgomery County, AL",103,-86.17401,32.362609
100706,University of Alabama at Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,Malcolm Portera,Interim President,2568246120,630520830,105500,1,www.uah.edu,admissions.uah.edu/,finaid.uah.edu/,register.uah.edu,finaid.uah.edu/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,UAHuntsville |UAH |University of Alabama Huntsville |Unversity of Alabama at Huntsville,2,15,14,17,8,4,12,16,1,2,3,26620,1,290,-2,1,The University of Alabama System, ,1089,"Madison County, AL",105,-86.63842,34.722818
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,1,5,William H. Harris,President,3342294400,636001101,100500,1,www.alasu.edu,www.alasu.edu/admissions,www.alasu.edu/finaid/,https://psadmin.alasu.edu:8501/psp/paprd_1/EMPLOYEE/HRMS/c/ASU_SS_NONID_MENU.ASU_SS_ONL_SECURE.GBL?PORTALPARAM_PTCNAV=ASU_LK_ONLINEAPP&EOPP.SCNode=EMP,www.alasu.edu/cost-aid/forms/calculator/index.aspx,1,1,1,9,1,1,11,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,10,12,9,4,13,21,1,2,3,33860,1,388,-2,2,-2,3348346861,1101,"Montgomery County, AL",103,-86.295677,32.364317
100733,University of Alabama System Office,401 Queen City Ave,Tuscaloosa,AL,35401,1,5,Malcolm Portera,Chancellor,2053489731,636001138,800400,2,www.uasystem.ua.edu, , , ,www.uasystem.ua.edu,0,1,1,9,1,1,11,1,2,2,-2,2,13,1,A ,-2,-2,-2,1,1,1,1,-2, ,-2,-3,-3,-3,-3,-3,-3,-3,2,2,-2,46220,1,-2,-2,1,The University of Alabama System,2053485206,1125,"Tuscaloosa County, AL",107,-87.560858,33.212525
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,1,5,Robert E. Witt,President,2053486010,636001138,105100,1,www.ua.edu/,gobama.ua.edu,financialaid.ua.edu,apply.ua.edu,oira.ua.edu,1,1,1,9,1,1,11,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,15,10,4,16,15,1,2,5,46220,1,-2,-2,1,The University of Alabama System,2053487208,1125,"Tuscaloosa County, AL",107,-87.545766,33.2144
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,1,5,Stephen Franks,President,2562346346,631022757,100700,1,www.cacc.edu,www.cacc.edu/index.php?submenu=Admissions&src=gendocs&ref=Admissions&category=Admissions,www.cacc.edu/index.php?submenu=Financial_Aid&src=gendocs&ref=Financial%20Aid&category=Financial%20Aid, , ,4,2,1,3,1,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,3,1,2,40,1,2,2,10760,2,388,-2,1,Alabama College System,2562340384,1123,"Tallapoosa County, AL",103,-85.94653,32.924429
100812,Athens State University,300 N Beaty St,Athens,AL,35611,1,5,Robert Glenn,President,2562338100,630701340,100800,1,www.athens.edu,www.athens.edu,www.athens.edu,www.athens.edu,https://24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,1,1,1,5,1,2,30,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,12,-1,5,2,9,32,1,2,2,26620,1,290,-2,1,Alabama College System,2562338118,1083,"Limestone County, AL",105,-86.96514,34.805625
100830,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,1,5,John G. Veres III,Chancellor,3342443000,636000724,831000,1,www.aum.edu,www.aum.edu/indexm_ektid954.aspx,www.aum.edu/indexm_ektid2234.aspx,https://senator.aum.edu/prod/bwskalog.P_DispLoginNon,www.aum.edu/NetPriceCalculator/npcalc.htm,1,1,1,8,1,1,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery,2,18,13,6,8,4,12,21,1,2,3,33860,1,388,-2,1,Auburn University,3342443920,1101,"Montgomery County, AL",103,-86.177351,32.369939
100858,Auburn University,"Auburn, Alabama",Auburn University,AL,36849,1,5,Jay Gogue,President,3348444000,636000724,100900,1,www.auburn.edu,www.auburn.edu/admissions/,www.auburn.edu/administration/business_office/finaid/,www.auburn.edu/admissions/apply/,www.auburn.edu/admissions/money-matters.html,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,14,13,4,15,15,1,1,5,12220,1,194,-2,1,Auburn University, ,1081,"Lee County, AL",103,-85.492409,32.600201
100937,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,1,5,General Charles Krulak,President,2052264600,630708730,101200,1,www.bsc.edu,www.gotobsc.com/,www.gotobsc.com/fa/,www.gotobsc.com/apply.htm,www.gotobsc.com/fa/calculator/npcalc.htm,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,7,2,12,3,11,31,1,2,2,13820,1,142,-2,2,-2,2052263074,1073,"Jefferson County, AL",107,-86.853636,33.515453
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,1,5,Dr. Glen Cannon,President,3342914900,630657380,1218200,1,www.cv.edu,www.cv.edu/index.php?option=com_wrapper&Itemid=175,"www.cv.edu/component/option,com_wrapper/Itemid,177/",www.cv.edu/documents/admissions/admission_app.pdf,www.cv.edu/npc/npcalc.htm,4,2,1,3,1,2,40,1,2,2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,CVCC,4,2,1,-1,2,1,2,40,1,2,2,17980,1,194,-2,1,Alabama College System,3342144834,1113,"Russell County, AL",103,-85.031485,32.42391
101073,Concordia College Alabama,1712 Broad Street,Selma,AL,36701,1,5,Dr. Tilahun M.Mendedo,President,3348745700,630389941,1055400,1,www.ccal.edu,www.ccal.edu/admissions,www.ccal.edu/financial-aid,www.ccal.edu/admissions,www.ccal.edu/netprice/,2,1,2,5,1,2,30,1,1,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,CCA,2,22,15,-1,9,2,8,33,2,2,1,42820,2,-2,-2,2,-2,3348745755,1047,"Dallas County, AL",107,-87.024229,32.422291
101116,South University-Montgomery,5355 Vaughn Road,Montgomery,AL,36116-1120,1,5,Victor K Biebighauser,President,3343958800,630314610,1303906,1,southuniversity.edu,southuniversity.edu,southuniversity.edu,southuniversity.edu,www.southuniversity.edu/montgomery/student-consumer-information.aspx,3,1,3,7,1,1,20,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,3,23,2,11,5,3,6,40,2,2,1,33860,1,388,-2,1,Education Management Corporation,3343958859,1101,"Montgomery County, AL",102,-86.216488,32.342684
